run_id,sample,platform,reference,target_depth_x,seed,mean_target_depth_x,median_target_depth_x,used_gb,pct_target_10x,pct_target_20x,pct_target_30x,pct_target_50x,coverage_tool,coverage_tool_version,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,42,31.04,NA,2.85,0.8302,0.6045,0.4112,0.1824,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,43,31.04,NA,2.85,0.8306,0.6048,0.4113,0.1826,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,20,44,31.04,NA,2.85,0.8298,0.6048,0.4113,0.1823,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,42,38.62,NA,3.54,0.8724,0.6930,0.5176,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,43,38.63,NA,3.54,0.8727,0.6932,0.5179,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,25,44,38.63,NA,3.54,0.8721,0.6928,0.5180,0.2703,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,42,46.14,NA,4.23,0.8991,0.7539,0.6001,0.3527,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,43,46.15,NA,4.23,0.8992,0.7540,0.6004,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,44,46.15,NA,4.23,0.8986,0.7535,0.6005,0.3529,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,42,60.98,NA,5.60,0.9299,0.8290,0.7129,0.4902,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,43,60.99,NA,5.60,0.9297,0.8288,0.7129,0.4905,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,40,44,60.99,NA,5.60,0.9293,0.8283,0.7125,0.4906,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,42,75.55,NA,6.94,0.9466,0.8713,0.7818,0.5928,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,43,75.56,NA,6.94,0.9463,0.8717,0.7818,0.5933,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,50,44,75.57,NA,6.94,0.9461,0.8710,0.7815,0.5934,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,42,89.87,NA,8.26,0.9569,0.8978,0.8268,0.6678,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,43,89.88,NA,8.26,0.9566,0.8982,0.8266,0.6681,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,60,44,89.89,NA,8.26,0.9566,0.8977,0.8264,0.6681,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,42,110.89,NA,10.20,0.9665,0.9226,0.8694,0.7454,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,43,110.91,NA,10.21,0.9663,0.9228,0.8696,0.7452,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,75,44,110.92,NA,10.21,0.9664,0.9224,0.8692,0.7451,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,42,144.75,NA,13.34,0.9754,0.9453,0.9087,0.8217,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,43,144.78,NA,13.34,0.9753,0.9453,0.9088,0.8216,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,100,44,144.81,NA,13.34,0.9753,0.9452,0.9084,0.8214,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.150x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,150,42,208.38,NA,19.26,0.9835,0.9653,0.9437,0.8918,mosdepth,0.3.3,2026-07-15
