label	category	n	QUAL	DP	GQ	QQ
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s43	gpu_only	38	80.14	28.00	93.50	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s44	concordant	57777	704.06	40.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s44	discordant	4	162.06	7.00	19.50	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s44	cpu_only	54	66.62	19.00	61.00	
ZY_BGI_NA12878.grch38.gatk4_hc.30x.s44	gpu_only	52	60.62	37.50	70.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s42	concordant	59554	1130.64	65.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s42	discordant	2	102.37	3.00	25.50	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s42	cpu_only	45	123.60	25.00	78.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s42	gpu_only	76	129.64	45.50	94.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s43	concordant	59515	1132.60	65.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s43	discordant	2	617.02	27.00	80.50	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s43	cpu_only	51	152.60	34.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s43	gpu_only	48	91.62	47.00	96.50	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s44	concordant	59443	1134.64	65.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s44	discordant	6	2637.01	110.50	66.50	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s44	cpu_only	46	109.64	45.50	96.00	
ZY_BGI_NA12878.grch38.gatk4_hc.50x.s44	gpu_only	49	372.64	91.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s42	concordant	41977	157.96	9.00	48.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s42	discordant	13	103.06	5.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s42	cpu_only	41	41.64	6.00	38.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s42	gpu_only	72	63.48	5.00	46.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s43	concordant	41803	158.64	9.00	47.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s43	discordant	11	94.98	3.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s43	cpu_only	51	37.64	6.00	38.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s43	gpu_only	64	37.32	5.00	38.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s44	concordant	41790	158.02	9.00	47.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s44	discordant	15	105.44	4.00	6.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s44	cpu_only	39	35.32	4.00	36.00	
ZY_BGI_NA12878.grch38.gatk4_hc.5x.s44	gpu_only	42	40.12	5.00	38.00	
ZY_BGI_NA12878.grch38.gatk4_hc.full.s0	concordant	62732	12311.60	705.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.full.s0	discordant	9	2547.02	104.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.full.s0	cpu_only	90	322.14	319.00	99.00	
ZY_BGI_NA12878.grch38.gatk4_hc.full.s0	gpu_only	108	404.14	390.00	99.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s42	concordant	57148	24.80	152.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s42	discordant	23	19.60	73.00	14.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s42	cpu_only	80	21.30	119.50	18.50	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s42	gpu_only	85	18.30	70.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s43	concordant	57154	24.80	153.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s43	discordant	25	20.10	139.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s43	cpu_only	83	19.90	101.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s43	gpu_only	98	19.95	121.50	17.50	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s44	concordant	57171	24.80	152.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s44	discordant	21	21.10	33.00	14.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s44	cpu_only	80	18.25	92.00	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.100x.s44	gpu_only	77	19.90	109.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s42	concordant	53094	24.70	17.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s42	discordant	36	22.25	4.50	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s42	cpu_only	65	21.60	11.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s42	gpu_only	98	24.15	10.50	21.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s43	concordant	53186	24.70	17.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s43	discordant	30	22.05	4.50	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s43	cpu_only	86	19.50	11.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s43	gpu_only	127	24.30	13.00	21.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s44	concordant	53051	24.70	17.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s44	discordant	25	23.10	6.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s44	cpu_only	63	22.00	9.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.10x.s44	gpu_only	105	23.30	10.00	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s42	concordant	54961	24.80	25.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s42	discordant	26	20.65	6.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s42	cpu_only	54	20.00	11.50	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s42	gpu_only	77	24.20	10.00	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s43	concordant	54938	24.80	25.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s43	discordant	17	20.50	6.00	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s43	cpu_only	61	18.50	20.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s43	gpu_only	75	20.60	17.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s44	concordant	54911	24.80	25.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s44	discordant	24	22.15	8.00	17.50	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s44	cpu_only	65	22.00	10.00	19.00	
ZY_GeneMind_NA12878.grch38.deepvariant.15x.s44	gpu_only	86	22.75	10.50	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s42	concordant	57328	24.80	267.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s42	discordant	23	21.40	176.00	17.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s42	cpu_only	92	18.45	191.00	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s42	gpu_only	75	20.30	174.00	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s43	concordant	57350	24.80	267.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s43	discordant	26	20.35	187.00	12.50	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s43	cpu_only	103	19.50	177.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s43	gpu_only	102	17.45	154.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s44	concordant	57340	24.80	267.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s44	discordant	31	18.40	128.00	13.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s44	cpu_only	101	21.10	188.00	18.00	
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s44	gpu_only	100	19.20	146.50	17.00	
