run_id,sample,platform,reference,caller,hardware,target_depth_x,seed,call_sec,total_sec,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,10,42,491,1006,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,10,43,495,1008,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.10x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,10,44,494,1016,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,12,42,532,1112,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,12,43,538,1116,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.12x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,12,44,539,1115,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,15,43,594,1250,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,15,42,596,1260,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.15x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,15,44,594,1245,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,20,44,705,1510,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,20,42,708,1522,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.20x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,20,43,710,1530,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,25,42,810,1750,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,25,43,811,1753,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.25x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,25,44,816,1756,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,43,924,2011,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,44,908,1998,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,42,919,2018,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,40,44,1154,2517,2026-07-15
