pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s42,57328.0,267.0,22.0,24.8,23.0,176.0,17.0,21.4,92.0,191.0,16.0,18.45,75.0,174.0,16.0,20.3
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s43,57350.0,267.0,22.0,24.8,26.0,187.0,12.5,20.35,103.0,177.0,18.0,19.5,102.0,154.0,15.0,17.45
ZY_GeneMind_NA12878.grch38.deepvariant.200x.s44,57340.0,267.0,22.0,24.8,31.0,128.0,13.0,18.4,101.0,188.0,18.0,21.1,100.0,146.5,17.0,19.2
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s42,56339.0,48.0,22.0,24.8,18.0,9.5,20.0,24.65,74.0,30.5,17.5,22.25,68.0,35.5,15.5,17.55
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s43,56357.0,49.0,22.0,24.8,19.0,20.0,8.0,18.6,67.0,33.0,14.0,18.4,78.0,24.0,14.5,17.4
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s44,56313.0,49.0,22.0,24.8,16.0,23.5,10.5,18.0,60.0,26.0,20.0,22.9,77.0,25.0,20.0,21.9
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s42,56750.0,80.0,22.0,24.8,13.0,34.0,19.0,22.3,52.0,38.0,15.0,19.35,66.0,35.0,15.5,17.55
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s43,56821.0,80.0,22.0,24.8,15.0,27.0,10.0,19.2,71.0,59.0,20.0,22.6,94.0,77.5,16.0,18.9
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s44,56716.0,80.0,22.0,24.8,14.0,19.5,11.0,18.4,103.0,99.0,19.0,22.1,87.0,91.0,18.0,21.5
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s42,46680.0,9.0,22.0,24.7,77.0,4.0,14.0,21.2,107.0,7.0,18.0,20.6,137.0,6.0,21.0,24.2
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s43,46604.0,9.0,22.0,24.7,63.0,4.0,16.0,22.1,113.0,7.0,18.0,20.7,137.0,6.0,21.0,23.9
ZY_GeneMind_NA12878.grch38.deepvariant.5x.s44,46493.0,9.0,22.0,24.7,66.0,5.0,14.0,21.65,102.0,8.0,19.0,21.55,117.0,7.0,19.0,22.1
