platform,caller,variant_type,target_depth_x,mean_on_target_depth,F1_mean,F1_std,precision_mean,recall_mean,n_seeds
illumina_novaseq6000,deepvariant,INDEL,30,46.14666666666667,0.9205800000000001,0.0019979431923855804,0.9626236666666667,0.8820556666666667,3
illumina_novaseq6000,deepvariant,INDEL,300,371.67333333333335,0.9761313333333334,0.0006811184429549395,0.9844383333333333,0.967963,3
illumina_novaseq6000,deepvariant,INDEL,40,60.98666666666667,0.9359013333333334,0.002461097587121081,0.9696136666666666,0.9044623333333334,3
illumina_novaseq6000,deepvariant,INDEL,400,462.03,0.9767610000000001,0.0008611323940022202,0.9850289999999999,0.9686306666666668,3
illumina_novaseq6000,deepvariant,INDEL,5,7.863333333333333,0.692025,0.002266115839934024,0.9103623333333334,0.5581616666666666,3
illumina_novaseq6000,deepvariant,INDEL,50,75.56,0.9451999999999999,0.0028987754311087938,0.9722496666666666,0.9196226666666667,3
illumina_novaseq6000,deepvariant,INDEL,60,89.88,0.9512843333333333,0.0007070292308903535,0.9742860000000001,0.9293476666666667,3
illumina_novaseq6000,deepvariant,INDEL,75,110.90666666666668,0.9579843333333334,0.0004943908710052592,0.9781903333333334,0.9385963333333334,3
illumina_novaseq6000,deepvariant,INDEL,8,12.549999999999999,0.7858196666666667,0.003860245372166512,0.9293686666666666,0.6806823333333334,3
illumina_novaseq6000,deepvariant,INDEL,full,627.23,0.979863,,0.986709,0.973112,1
illumina_novaseq6000,deepvariant,SNV,10,15.663333333333334,0.9228866666666667,0.001077993661082172,0.9782446666666665,0.8734586666666667,3
