sample,reference,caller_pair,target_depth_x,seed,variant_type,CPU_F1,GPU_F1,abs_delta_F1
ZY_BGI_NA12878,grch38,deepvariant,5,42,INDEL,0.67405,0.674985,0.0009349999999999081
ZY_BGI_NA12878,grch38,deepvariant,5,42,SNV,0.776869,0.77709,0.0002209999999999157
ZY_BGI_NA12878,grch38,deepvariant,5,43,INDEL,0.682022,0.68317,0.0011480000000000379
ZY_BGI_NA12878,grch38,deepvariant,5,43,SNV,0.775216,0.775504,0.00028799999999995496
ZY_BGI_NA12878,grch38,deepvariant,5,44,INDEL,0.676694,0.681264,0.004569999999999963
ZY_BGI_NA12878,grch38,deepvariant,5,44,SNV,0.77591,0.776006,9.599999999998499e-05
ZY_BGI_NA12878,grch38,gatk4_hc,5,42,INDEL,0.619233,0.61842,0.0008130000000000637
ZY_BGI_NA12878,grch38,gatk4_hc,5,42,SNV,0.803566,0.803769,0.00020299999999995322
ZY_BGI_NA12878,grch38,gatk4_hc,5,43,INDEL,0.621365,0.622733,0.0013680000000000359
ZY_BGI_NA12878,grch38,gatk4_hc,5,43,SNV,0.799636,0.79985,0.00021399999999993646
ZY_BGI_NA12878,grch38,gatk4_hc,5,44,INDEL,0.624379,0.624849,0.00046999999999997044
ZY_BGI_NA12878,grch38,gatk4_hc,5,44,SNV,0.800412,0.800601,0.00018899999999999473
ZY_GeneMind_NA12878,grch38,deepvariant,5,42,INDEL,0.766069,0.767842,0.0017730000000000246
ZY_GeneMind_NA12878,grch38,deepvariant,5,42,SNV,0.857476,0.857767,0.0002909999999999302
ZY_GeneMind_NA12878,grch38,deepvariant,5,43,INDEL,0.773886,0.774244,0.0003580000000000805
ZY_GeneMind_NA12878,grch38,deepvariant,5,43,SNV,0.856345,0.856453,0.00010799999999999699
ZY_GeneMind_NA12878,grch38,deepvariant,5,44,INDEL,0.773403,0.775203,0.0018000000000000238
ZY_GeneMind_NA12878,grch38,deepvariant,5,44,SNV,0.85555,0.855899,0.0003489999999999327
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,42,INDEL,0.698751,0.698368,0.0003830000000000222
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,42,SNV,0.849423,0.849159,0.000264000000000042
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,43,INDEL,0.70159,0.700982,0.0006080000000000529
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,43,SNV,0.847319,0.847105,0.00021400000000004749
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,44,INDEL,0.70035,0.700738,0.00038799999999994395
ZY_GeneMind_NA12878,grch38,gatk4_hc,5,44,SNV,0.846737,0.846232,0.0005049999999999777
ZY_Illumina_NA12878,grch38,deepvariant,5,42,INDEL,0.691964,0.691842,0.0001220000000000665
ZY_Illumina_NA12878,grch38,deepvariant,5,42,SNV,0.825692,0.825711,1.8999999999991246e-05
ZY_Illumina_NA12878,grch38,deepvariant,5,43,INDEL,0.694321,0.695422,0.0011010000000000186
ZY_Illumina_NA12878,grch38,deepvariant,5,43,SNV,0.828996,0.828823,0.00017299999999997873
ZY_Illumina_NA12878,grch38,deepvariant,5,44,INDEL,0.68979,0.69001,0.00021999999999999797
ZY_Illumina_NA12878,grch38,deepvariant,5,44,SNV,0.828299,0.828027,0.00027200000000005
ZY_Illumina_NA12878,grch38,gatk4_hc,5,42,INDEL,0.633853,0.63433,0.0004769999999999497
ZY_Illumina_NA12878,grch38,gatk4_hc,5,42,SNV,0.815083,0.815446,0.0003630000000000022
ZY_Illumina_NA12878,grch38,gatk4_hc,5,43,INDEL,0.642092,0.641129,0.0009630000000000472
ZY_Illumina_NA12878,grch38,gatk4_hc,5,43,SNV,0.818263,0.818302,3.900000000001125e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,5,44,INDEL,0.62052,0.62009,0.00042999999999993044
ZY_Illumina_NA12878,grch38,gatk4_hc,5,44,SNV,0.815754,0.81586,0.0001060000000000505
ZY_BGI_NA12878,grch38,deepvariant,10,42,INDEL,0.809628,0.809995,0.0003670000000000062
ZY_BGI_NA12878,grch38,deepvariant,10,42,SNV,0.886934,0.887129,0.00019499999999994522
ZY_BGI_NA12878,grch38,deepvariant,10,43,INDEL,0.810579,0.811133,0.0005539999999999434
ZY_BGI_NA12878,grch38,deepvariant,10,43,SNV,0.886104,0.886343,0.00023899999999998922
ZY_BGI_NA12878,grch38,deepvariant,10,44,INDEL,0.816028,0.816599,0.0005709999999999882
ZY_BGI_NA12878,grch38,deepvariant,10,44,SNV,0.886068,0.886218,0.00014999999999998348
ZY_BGI_NA12878,grch38,gatk4_hc,10,42,INDEL,0.731926,0.732309,0.0003830000000000222
ZY_BGI_NA12878,grch38,gatk4_hc,10,42,SNV,0.908601,0.908426,0.00017500000000003624
ZY_BGI_NA12878,grch38,gatk4_hc,10,43,INDEL,0.72954,0.729622,8.20000000000265e-05
ZY_BGI_NA12878,grch38,gatk4_hc,10,43,SNV,0.90818,0.908221,4.099999999995774e-05
ZY_BGI_NA12878,grch38,gatk4_hc,10,44,INDEL,0.730267,0.730127,0.000140000000000029
ZY_BGI_NA12878,grch38,gatk4_hc,10,44,SNV,0.906957,0.90678,0.00017699999999998273
ZY_GeneMind_NA12878,grch38,deepvariant,10,42,INDEL,0.893477,0.893059,0.00041799999999991844
ZY_GeneMind_NA12878,grch38,deepvariant,10,42,SNV,0.950309,0.950032,0.0002769999999999717
ZY_GeneMind_NA12878,grch38,deepvariant,10,43,INDEL,0.894355,0.895207,0.0008519999999999639
ZY_GeneMind_NA12878,grch38,deepvariant,10,43,SNV,0.950302,0.950707,0.0004049999999999887
ZY_GeneMind_NA12878,grch38,deepvariant,10,44,INDEL,0.89385,0.894616,0.0007659999999999334
ZY_GeneMind_NA12878,grch38,deepvariant,10,44,SNV,0.950305,0.950353,4.8000000000048004e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,42,INDEL,0.816957,0.816869,8.800000000008801e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,42,SNV,0.940102,0.939665,0.0004370000000000207
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,43,INDEL,0.816086,0.815751,0.0003349999999999742
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,43,SNV,0.940533,0.940124,0.0004089999999999927
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,44,INDEL,0.818133,0.819589,0.0014560000000000128
ZY_GeneMind_NA12878,grch38,gatk4_hc,10,44,SNV,0.939796,0.939261,0.0005349999999999522
ZY_Illumina_NA12878,grch38,deepvariant,10,42,INDEL,0.815812,0.816766,0.0009540000000000104
ZY_Illumina_NA12878,grch38,deepvariant,10,42,SNV,0.921652,0.921629,2.2999999999995246e-05
ZY_Illumina_NA12878,grch38,deepvariant,10,43,INDEL,0.821686,0.823516,0.0018299999999999983
ZY_Illumina_NA12878,grch38,deepvariant,10,43,SNV,0.923641,0.923664,2.2999999999995246e-05
ZY_Illumina_NA12878,grch38,deepvariant,10,44,INDEL,0.816804,0.817492,0.0006880000000000219
ZY_Illumina_NA12878,grch38,deepvariant,10,44,SNV,0.923367,0.923314,5.300000000008076e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,10,42,INDEL,0.749746,0.748215,0.00153100000000006
